БО;Номер послуги;МВП (підрозділ);ТМЦ;Зарплата бригади;ЄСВ_Зарплата бригади;Відрядження Добові_Бригади;Відрядження Проїзд_Бригади;Відрядження Проживання_Бригади;А-92_А/транспорт;А-95 А/транспорт;ДП А/транспорт;Газ_А/транспорт;Автомастила_А/транспорт;Зарплата водіїв;ЄСВ_зарплата водіїв;Амортизація_А/транспорт;Відрядження Добові_Водії;Відрядження Проживання_Водії;Повірка приладів обліку;Інші;Ремонт підр.спос.;Загальновиробничі витрати;АКТ/Особовий рахунок;№ договора (тільки для приєднання);Нормативні кошторисні трудовитрати бригади, люд-год. ;Нормативні кошторисні трудовитрати водіїв, люд-год. 
CK01;2300000122;;;97,29;21,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;92,43;00005167;;1,81;0
CK01;2300000122;CK0104003;;97,29;21,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;92,43;00005890;;1,81;0
CK01;2300000380;CK0104003;0;0;0;0;0;0;0;0;404,16;0;3,68;225,48;49,61;39,87;0;0;0;0;0;0;00005890;;0;1,02
CK01;2300000122;CK0104003;;97,29;21,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;92,43;00006138;;1,81;0
CK01;2300000380;CK0104003;0;0;0;0;0;0;0;0;350,64;0;3,3;202,19;44,48;35,76;0;0;0;0;0;0;00006138;;0;0,8
CK01;2300000122;CK0104003;;97,29;21,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;92,43;00006140;;1,81;0
CK01;2300000380;CK0104003;0;0;0;0;0;0;0;0;350,64;0;3,3;202,19;44,48;35,76;0;0;0;0;0;0;00006140;;0;0,8
CK01;2300000122;CK0104003;;97,29;21,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;92,43;00006211;;1,81;0
CK01;2300000380;CK0104003;0;0;0;0;0;0;0;0;554,98;0;4,76;291,11;64,04;51,48;0;0;0;0;0;0;00006211;;0;1,64
CK01;2300000123;;;94,35;20,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;89,63;00005113;;1,75;0
CK01;2300000122;;;44,48;9,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;42,26;00004890;;0,73;0
CK01;2300000122;;;44,48;9,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;42,26;00005331;;0,73;0
CK01;2300000122;;;44,48;9,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;42,26;00005538;;0,73;0
CK01;2300000122;5;;44,48;9,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;42,26;00005794;;0,73;0
CK01;2300000123;;;44,48;9,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;42,26;00002503;;0,73;0
