БО;Номер послуги;МВП (підрозділ);ТМЦ;Зарплата бригади;ЄСВ_Зарплата бригади;Відрядження Добові_Бригади;Відрядження Проїзд_Бригади;Відрядження Проживання_Бригади;А-92_А/транспорт;А-95 А/транспорт;ДП А/транспорт;Газ_А/транспорт;Автомастила_А/транспорт;Зарплата водіїв;ЄСВ_зарплата водіїв;Амортизація_А/транспорт;Відрядження Добові_Водії;Відрядження Проживання_Водії;Повірка приладів обліку;Інші;Ремонт підр.спос.;Загальновиробничі витрати;АКТ/Особовий рахунок;№ договора (тільки для приєднання);Нормативні кошторисні трудовитрати бригади, люд-год. ;Нормативні кошторисні трудовитрати водіїв, люд-год. 
CK01;2300000248;CK0120244;0;998,79;219,73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1315,8;00007080;;11,7;0
CK01;2300000380;CK0120244;0;0;0;0;0;0;35,6;0;0;0;0,12;154,7;34,03;3,08;0;0;0;0;0;1987;00007080;;0;1,51
CK01;2300000248;CK0120282;0;2178,77;479,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2193;00006819;;19,5;0
CK01;2300000380;CK0120282;0;0;0;0;0;0;496,3;0;0;0;2,43;412,86;90,83;42,06;0;0;0;0;0;3311;00006819;;0;1,51
CK01;2300000248;CK0120244;0;370,36;81,47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;438,6;00007042;;3,9;0
CK01;2300000380;CK0120244;0;0;0;0;0;0;87,03;0;0;0;0,13;167,27;36,8;3,33;0;0;0;0;0;662;00007042;;0;1,51
CK01;2300000248;CK0120244;0;998,79;219,73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1315,8;00007080;;11,7;0
CK01;2300000380;CK0120244;0;0;0;0;0;0;35,6;0;0;0;0,12;154,7;34,03;3,08;0;0;0;0;0;1987;00007080;;0;1,51
CK01;2300000248;CK0120282;0;2178,77;479,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2193;00006819;;19,5;0
CK01;2300000380;CK0120282;0;0;0;0;0;0;496,3;0;0;0;2,43;412,86;90,83;42,06;0;0;0;0;0;3311;00006819;;0;1,51
CK01;2300000248;CK0120244;0;370,36;81,47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;438,6;00007042;;3,9;0
CK01;2300000380;CK0120244;0;0;0;0;0;0;87,03;0;0;0;0,13;167,27;36,8;3,33;0;0;0;0;0;662;00007042;;0;1,51
CK01;2300000235;CK0120282;0;758,2;166,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1016,9;00006824;;9;1,05
CK01;2300000235;CK0120282;0;631,15;138,85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;846,5;00006822;;7,5;0,89
CK01;2300000235;CK0120282;0;252,46;55,54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;338,6;00006840;;3;0,89
CK01;2300000235;CK0120282;0;126,23;27,77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;169,3;00006847;;1,5;0,89
CK01;2300000248;CK0120282;0;81,35;17,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109,11;00007496;;1;0,48
CK01;2300000248;CK0120282;0;81,35;17,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109,11;00007203;;1;0,48
CK01;2300000248;CK0120282;0;81,35;17,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109,11;00007259;;1;0,48
CK01;2300000248;CK0120282;0;81,35;17,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109,11;00007415;;1;0,48
CK01;2300000248;CK0120282;0;81,35;17,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109,11;00007207;;1;0,48
CK01;2300000248;CK0120282;0;406,75;89,49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;545,55;00006823;;5;0,48
CK01;2300000248;CK0120282;0;81,35;17,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109,11;00007407;;1;0,48
CK01;2300000248;CK0120280;0;115,41;25,39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109,11;00007125;;1;0
CK01;2300000380;CK0120280;0;0;0;0;0;0;38,84;0;0;0;0,29;63,81;14,04;2,9;0;0;0;0;0;52;00007125;;0;0,48
CK01;2300000248;CK0120282;0;81,35;17,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109,11;00007252;;1;0,48
CK01;2300000248;CK0120282;0;81,35;17,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109,11;00007202;;1;0,48
CK01;2300000248;CK0120282;0;81,35;17,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109,11;00007204;;1;0,48
CK01;2300000248;CK0120282;0;81,35;17,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109,11;00007205;;1;0,48
CK01;2300000248;CK0120282;0;81,35;17,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109,11;00007206;;1;0,48
CK01;2300000248;CK0120282;0;81,35;17,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109,11;00007261;;1;0,48
